review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__image-avatar src,super-reviewer-badge
https://www.rottentomatoes.com/profiles/L20UxJFlaSxlcYDiJYIAahoPuvvCZeuWnFnoIVyc99CAYixAfrKTVJTmmC48FnMS2zfzpsPPCJ0sqaFWYHq2uglTJXcq8InquWQFdvFQYSbn,https://www.rottentomatoes.com/profiles/L20UxJFlaSxlcYDiJYIAahoPuvvCZeuWnFnoIVyc99CAYixAfrKTVJTmmC48FnMS2zfzpsPPCJ0sqaFWYHq2uglTJXcq8InquWQFdvFQYSbn,John A,"Jun 17, 2025","Be prepared for non stop shock. A disguised tragic comedy for the first half. Depicts all three sides in the Vietnam War in a very poor light. How about the men who made it happen? This was mostly Johnson's and, to a lesser extent, McNamara's war. The acting and cinematography is top notch. A well crafted disaster.",,,
https://www.rottentomatoes.com/profiles/jkdFdpupbIAlsQ2CdPuplFBzh00CaNFqmTXZHVosLLCWbidehn6uKgiDDCmjFGxfJ0HojFXXCOmC6auP4H9pCMJCnQuNzS4Dt9AfqgCAYIw6,https://www.rottentomatoes.com/profiles/jkdFdpupbIAlsQ2CdPuplFBzh00CaNFqmTXZHVosLLCWbidehn6uKgiDDCmjFGxfJ0HojFXXCOmC6auP4H9pCMJCnQuNzS4Dt9AfqgCAYIw6,Daniel Z,"Jun 5, 2025","gripping, twisted, and heartbreaking film",,,
https://www.rottentomatoes.com/profiles/Rk6fJKilQsYosn2i2jFWZf9GsAACNGhJWFBmSlOInnCx6iQKHyRuvqhZZCPLudWFexhB4IGGC9btVWtRDIZYhYRuKxu1YfZaf9RTOyC92Had,https://www.rottentomatoes.com/profiles/Rk6fJKilQsYosn2i2jFWZf9GsAACNGhJWFBmSlOInnCx6iQKHyRuvqhZZCPLudWFexhB4IGGC9btVWtRDIZYhYRuKxu1YfZaf9RTOyC92Had,Sam B,"Jun 1, 2025","The complete absence of a plot, the many scenes that were just there for shock value, and the terrible acting all add up to a very unimpressive movie.",,,
https://www.rottentomatoes.com/profiles/m8AID6ubyhaof8pIdxiQ2TB9HVVCoQfxoF2GTO0iLLCZoiJnTb2SelszzC2MFjVs1MSroCPPCKGIzlIa4cjRu9kuaGFDrhkOh4WIlAHGPS9K,https://www.rottentomatoes.com/profiles/m8AID6ubyhaof8pIdxiQ2TB9HVVCoQfxoF2GTO0iLLCZoiJnTb2SelszzC2MFjVs1MSroCPPCKGIzlIa4cjRu9kuaGFDrhkOh4WIlAHGPS9K,Stephen C,"May 23, 2025",1 hour and 56 minutes based on a real war.,,,
https://www.rottentomatoes.com/profiles/GPBT0kcGqieji8eswehMpSK9SeeCXvsLZu2OhjrFRRCzRi1KTknSwyillCxgFekFjgSgMFYYCdOcw8SkoIGkCj4c9YIQLIZRsYguBwSVMhzv,https://www.rottentomatoes.com/profiles/GPBT0kcGqieji8eswehMpSK9SeeCXvsLZu2OhjrFRRCzRi1KTknSwyillCxgFekFjgSgMFYYCdOcw8SkoIGkCj4c9YIQLIZRsYguBwSVMhzv,Brady H,"May 23, 2025","The first 30 minutes 9/10 the rest 3/10 dull, dry, boring the protagonist is an empty shell of a man and everyone else in it is a stupid moron",,,
https://www.rottentomatoes.com/profiles/X6ZfnKCAjTRYuvgueRTRyIoRCRRCbkFNeToeuyvH11CPYiY8FOecVkFooCJZubRIRdIzJhOOCmKsnlil4sprIbATBDFk2Im1hxRTOyuzMu8m,https://www.rottentomatoes.com/profiles/X6ZfnKCAjTRYuvgueRTRyIoRCRRCbkFNeToeuyvH11CPYiY8FOecVkFooCJZubRIRdIzJhOOCmKsnlil4sprIbATBDFk2Im1hxRTOyuzMu8m,Faiz D,"May 13, 2025",It started out great.,,,
https://www.rottentomatoes.com/profiles/OyBidbskeFjqubvujatBlFMWFkkC8xSd0IWgh06T22CNniz0s4LHPwIKKC9lsbJuemIRaIGGCkrfnmcm6tYouAyiozFWkIDzfmyfmpcjJfbp,https://www.rottentomatoes.com/profiles/OyBidbskeFjqubvujatBlFMWFkkC8xSd0IWgh06T22CNniz0s4LHPwIKKC9lsbJuemIRaIGGCkrfnmcm6tYouAyiozFWkIDzfmyfmpcjJfbp,Shaun R,"May 3, 2025","I would give this an extra star, however, War films do lose my interest slightly when they are overlong and drag on.",,,
https://www.rottentomatoes.com/profiles/AlgS2yHkwCkgTpXs6NTY2HKjsaaC9JU8zcqbikGiaaCyriWnTg8uvZI11CBvFgziXJsZBH99CrauXvuYJFbJF8DfqkhLDtGvFapsdoFmQFae,https://www.rottentomatoes.com/profiles/AlgS2yHkwCkgTpXs6NTY2HKjsaaC9JU8zcqbikGiaaCyriWnTg8uvZI11CBvFgziXJsZBH99CrauXvuYJFbJF8DfqkhLDtGvFapsdoFmQFae,Chris H,"Mar 31, 2025","A film in two halves and the first half, although exploring a very familiar theme, is the better. There, I've said it. The central Joker character is little more than a frippery, but R Lee Ermey's drill instructor is very believable (and vile). Other characters come and go, but Vincent D'Onofrio's Leonard is spellbinding. Two stars for him alone.",,,
https://www.rottentomatoes.com/profiles/OyqId0Fg6hrJFwNujzIBxHMWFkkC80idQHWoT0Yi22CNniDPc9xIP9fKKC9NSG1SeZFK1HGGCkpHnyFkRslbIArfr1uK0h0KsmBumoCadu81,https://www.rottentomatoes.com/profiles/OyqId0Fg6hrJFwNujzIBxHMWFkkC80idQHWoT0Yi22CNniDPc9xIP9fKKC9NSG1SeZFK1HGGCkpHnyFkRslbIArfr1uK0h0KsmBumoCadu81,Frans B,"Mar 19, 2025","R Lee Ermey is the absolute impersonation of a real period correct drill sergeant in the most convincing portrayal you're likely to see in a movie, perhaps because he really was a real marine drill sergeant? Portrays the vision Kubrick had perfectly. Twisted and irrational as it should be, great stuff",,,
https://www.rottentomatoes.com/profiles/ryNIO2fAXHGJF1mHqPiPDhY2HZZCPvfMohRofVAFGGCZQiVjuAQh9pHmmC4NuXBIgGSWXTggC4biYjcRwHqKTKoFGQFrzIQPTOjIDWhWauJB,https://www.rottentomatoes.com/profiles/ryNIO2fAXHGJF1mHqPiPDhY2HZZCPvfMohRofVAFGGCZQiVjuAQh9pHmmC4NuXBIgGSWXTggC4biYjcRwHqKTKoFGQFrzIQPTOjIDWhWauJB,Jorge V,"Feb 21, 2025",Las mejores películas del mundo nos da un mensaje muy profundo y pesado de luchar con nosotros y la oscuridad,,,
https://www.rottentomatoes.com/profiles/mMYTOwCbLSa0i89SdXfNPcBlhVVCn2tJoI2qhAeSLLCZoibnIbzFexTzzC2MFjNi1MSQzfPPCKGI0RiaKFjNS9PT8GIDoubecNdIl0hywt9K,https://www.rottentomatoes.com/profiles/mMYTOwCbLSa0i89SdXfNPcBlhVVCn2tJoI2qhAeSLLCZoibnIbzFexTzzC2MFjNi1MSQzfPPCKGI0RiaKFjNS9PT8GIDoubecNdIl0hywt9K,XRP V,"Feb 16, 2025",I have seen this movie countless times it’s one of my absolute favorite Vietnam war movies. I want to watch it again tonight with my daughter. I like to share with people that I love.,,,
