review,Titre
"About what I expected and there’s a reason I waited months before watching it. I’m not surprised at all the critics love it. Good acting and directing. But a little pretentious and self important. A pretty good story which is something the critical darlings don’t often have, so I can see why the audiences liked it. But long and slow. And a big shift in tone at the end. They wanted to wrap it up without just text so did a weird scene.",killerofthemoon
"Had its ""moments"" but those moments weren't enough for over 3 1/2 hours that runtime really dragged the film down. It did nothing for me",killerofthemoon
Great acting; long (3 hours) and sad (throughout history some people are just pathetic!) The ending was neat - good direction by Martin Scorsese.,killerofthemoon
"5.0/10 — ""Poor""/""Inferior""/""Amateurish""",killerofthemoon
"Not your typical Scorsese film, but has an important story to tell. Gladstone is phenomenal.",killerofthemoon
Good treatment of the true story. Excellent acting. Only better if the characters weren’t so plain.,killerofthemoon
"This was an amazing book. The movie ruined the story. Which is too bad, because it’s a story that needs to be told.",killerofthemoon
This is one of Scorsese's worst. This movie has no business being 3 hours long. The performances were also overrated. The entire thing is forgetable.,killerofthemoon
Definitely was a little slow. But overall it made me lookup this ugly event in history. Liked the movie would have been great to see on the big screen.,killerofthemoon
"Killers of the Flower Moon is currently the best film of the decade so far. One of Scorsese’s many masterpieces, the film shows true good and evil and the nuances between. The film has a powerhouse performance for Montana’s Lily Gladstone.",killerofthemoon
"Because of the run time I'm glad I saw it at home. I watched it in 2 parts. Having said that, i don't get why people who average up to 9 hours of daily screen time are complaining. Show some respect. The acting was great. The story is gut wrenching and it immerses you. If its history its history and a tale that deserves to be told. Many blessings to the Osage.",killerofthemoon
"Good actors and set pieces but the story was confusing and borderline boring. No real suspense throughout a movie that I guess was supposed to be a murder mystery as the whole “whodunnit?” Is played out almost immediately. Whole movie just comes across as flat, dull, and forgetful, if it weren’t for big name actors and directors, this film would’ve flopped harder.",killerofthemoon
"Awesome movie with great acting but it is soooo long and the pacing is kinda meh but otherwise its a fine movie, Lily Gladstone's performance was phenomenal and worth an Oscar nom and almost win",killerofthemoon
"Wonderful film and good conclusion. Was a bit long, still a must watch",killerofthemoon
