review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified
https://www.rottentomatoes.com/profiles/zWjuqxtRvszpC6XumqtyXuDYImmC4nijAueVSB4SqqCzNi10H0xsJVfvvCk4uxMSYDFBmhAACQVSZjfKWijLuP9iXrum0hWXiB6tPqHLYsmp,,,"Sep 3, 2025","Because of the run time I'm glad I saw it at home. I watched it in 2 parts. Having said that, i don't get why people who average up to 9 hours of daily screen time are complaining. Show some respect. The acting was great. The story is gut wrenching and it immerses you. If its history its history and a tale that deserves to be told. Many blessings to the Osage.",,,
https://www.rottentomatoes.com/profiles/wPrsknIGZuxeFqZIMdHvNTokiVVCWNtDWf9pHb1T66CQoi8WfYyFgKTBBCrOFQRua4teDf99C1AFm1HkqcMofZJS2efkauqpFoKuJWIabIq1,https://www.rottentomatoes.com/profiles/wPrsknIGZuxeFqZIMdHvNTokiVVCWNtDWf9pHb1T66CQoi8WfYyFgKTBBCrOFQRua4teDf99C1AFm1HkqcMofZJS2efkauqpFoKuJWIabIq1,Zach C,"Aug 30, 2025","Good actors and set pieces but the story was confusing and borderline boring. No real suspense throughout a movie that I guess was supposed to be a murder mystery as the whole “whodunnit?” Is played out almost immediately. Whole movie just comes across as flat, dull, and forgetful, if it weren’t for big name actors and directors, this film would’ve flopped harder.",,,
https://www.rottentomatoes.com/profiles/v68CRluWvFp8I9oTGYf6aIAPuWWCYyIvlfZVfmlHppCY9ij0s4xHA9iqqCy1IrnHljSz9fooCXlum2TgXFGOSNAs9dFzBfPdspwtePHWDf4o,https://www.rottentomatoes.com/profiles/v68CRluWvFp8I9oTGYf6aIAPuWWCYyIvlfZVfmlHppCY9ij0s4xHA9iqqCy1IrnHljSz9fooCXlum2TgXFGOSNAs9dFzBfPdspwtePHWDf4o,Calvin G,"Aug 16, 2025","Awesome movie with great acting but it is soooo long and the pacing is kinda meh but otherwise its a fine movie, Lily Gladstone's performance was phenomenal and worth an Oscar nom and almost win",,,
https://www.rottentomatoes.com/profiles/KXRfkKfKksjOtgxh86h9vFNAC44CBghXZi8xHz0hggCLMiApUx2FVwuwwCZDFD2SoWSObHwwCe2fVPijYIo6C8nCAefxzhQaSGeFBKfnjcZl,https://www.rottentomatoes.com/profiles/KXRfkKfKksjOtgxh86h9vFNAC44CBghXZi8xHz0hggCLMiApUx2FVwuwwCZDFD2SoWSObHwwCe2fVPijYIo6C8nCAefxzhQaSGeFBKfnjcZl,Liam P,"Aug 11, 2025","Wonderful film and good conclusion. Was a bit long, still a must watch",,,
https://www.rottentomatoes.com/profiles/DGehbQunkH2nCB9IzOHv0Fj9SLLCwkHymuZjIR4IQQC8OipNcgMS4zf00CwguQ4HpZtRPTBBC10iK1uVgtqwTBQS0nsg1f9kIzafXAu6RTLy,https://www.rottentomatoes.com/profiles/DGehbQunkH2nCB9IzOHv0Fj9SLLCwkHymuZjIR4IQQC8OipNcgMS4zf00CwguQ4HpZtRPTBBC10iK1uVgtqwTBQS0nsg1f9kIzafXAu6RTLy,Vikes M,"Jul 30, 2025","Of course I read the book first, and the book was really great. And of course in the book you don't get to know who the real killers are until you're well into it. The movie clumsily blurts it out right away, and then you have to sit through three hours of boringness. Why would they do that? Does Scorsleazy get paid by the minute? I thought Decaprio did a good job with his character, but Deniro was awful, and I must say badly cast for this movie. Jesse Plemons is spot on, but they could have had fun with the Hoover character if they....well, if they had enough time. lol. Perhaps a different director could have shaped this film better.",SHOW MORE,,
https://www.rottentomatoes.com/profiles/m8AID6ubyhaof8pIdxiQ2TB9HVVCoQfxoF2GTO0iLLCZoiJnTb2SelszzC2MFjVs1MSroCPPCKGIzlIa4cjRu9kuaGFDrhkOh4WIlAHGPS9K,https://www.rottentomatoes.com/profiles/m8AID6ubyhaof8pIdxiQ2TB9HVVCoQfxoF2GTO0iLLCZoiJnTb2SelszzC2MFjVs1MSroCPPCKGIzlIa4cjRu9kuaGFDrhkOh4WIlAHGPS9K,Stephen C,"Jul 20, 2025","Success in 3 hours and 26 minutes!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Rated R for Some Grisly Images, Language and Violence!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! The USA grossed over $68,000,000.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",,,
https://www.rottentomatoes.com/profiles/WpdC84sDXT0YULOSW1T8aHRnTGGCals1RuPgFP0SbbCexi8XtwncmaIeeCzdIp9HxdHwPI11CGNtyDtVdclMIaeu6bIqBFyviVGIOPulvHoy,https://www.rottentomatoes.com/profiles/WpdC84sDXT0YULOSW1T8aHRnTGGCals1RuPgFP0SbbCexi8XtwncmaIeeCzdIp9HxdHwPI11CGNtyDtVdclMIaeu6bIqBFyviVGIOPulvHoy,Jeremiah J,"Jul 19, 2025",It’s a good movie but once again I think the critics bow down to the subject matter and not the actual movie. Much of it was very slow and drawn out. It felt more like a crime series than a movie. All the actors were brilliant but the praise it received felt more like sympathy for the character rather than praise for the story. To me is was overrated as far as entertainment goes and especially for Martin Scorsese. I always rate movies on the likelihood of wanting to watch it again and again. I just don’t feel like any movie that I wouldn’t watch again isn’t a great movie.,,,
https://www.rottentomatoes.com/profiles/GPGi09HGqienFpWuwDirXCwZueeCQwhLZuVWSjAIRRCzRi1ksoXtw2HllCxXurBujXuZMIYYCD4iNlIgpSGjtmvhGYFxpsZVSYxIBNHVpiYN,https://www.rottentomatoes.com/profiles/GPGi09HGqienFpWuwDirXCwZueeCQwhLZuVWSjAIRRCzRi1ksoXtw2HllCxXurBujXuZMIYYCD4iNlIgpSGjtmvhGYFxpsZVSYxIBNHVpiYN,Nick E.,"Jul 18, 2025",A monumental film that isn’t afraid to take its time and be unflinching.,,,
https://www.rottentomatoes.com/profiles/802FMBHWNiNdSBXF69IzwIjLIeeCnrH9muqeuv9IGGCokin6uY6fAaFllCqLuQaunxFyXiAAC9ZFa6fvyHmoIVeTRkFaMFKmu2gujliWphgD,https://www.rottentomatoes.com/profiles/802FMBHWNiNdSBXF69IzwIjLIeeCnrH9muqeuv9IGGCokin6uY6fAaFllCqLuQaunxFyXiAAC9ZFa6fvyHmoIVeTRkFaMFKmu2gujliWphgD,Dominic B,"Jul 14, 2025","An impressive and beautiful movie, but not very enjoyable due to the heavy subject matter. Lily Gladstone gives a devastating performance, full of stoic endurance, vulnerablity and inner fortitude.",,,
https://www.rottentomatoes.com/profiles/4JLfVAhkDiLnuXqi2yu9xSKQcPPCMqhgehv2ilehyyC8oi8audqsq9HyyCdBIrOu9mSMRfOOCGWIoRhKeFL6hOYspvfG8FboHdDCBRTyDSMb,https://www.rottentomatoes.com/profiles/4JLfVAhkDiLnuXqi2yu9xSKQcPPCMqhgehv2ilehyyC8oi8audqsq9HyyCdBIrOu9mSMRfOOCGWIoRhKeFL6hOYspvfG8FboHdDCBRTyDSMb,Macon B.,"Jul 11, 2025",Captivating moving that drags you into this time and place!,,,
