review,Titre
"A very well made and acted film that captures the essence of a sad and tragic true story. I think it could have been drastically edited and it could have provided a better ending. My biggest quip is the closing scene. While a creative way to end the movie, it didn’t do the rest of the movie justice. A written epilogue and then the very last drumming scene would have been a better closer. At any rate, a must see.",killerofthemoon
"A beautiful sad, meaningful epic. The cinematography, scenery, acting and topic is stellar. I do think it could have cut 20-30 mins out with less artistic b-roll shots - but it wasn't a drag by any means.",killerofthemoon
"with Leo and DeNiro back together in a film, I would've hoped to enjoy it way more than I did. Slow and almost boring, unfortunately, imo. The acting is great, but the movie is just too drawn out.",killerofthemoon
"One of the greatest movies ever made! Martin Scorsese just keeps getting better. The performances are phenomenal, and the story is one of a kind.",killerofthemoon
"A fantastic adaptation of one story of a family of Osage indigenous peoples during their oil boom. Although the run time is tiresome, this movie is typical scorsese.",killerofthemoon
Killers of the flowers review I finally finished it it’s what may remember this movie even more is that Lily won a Golden Globes for it not good ending 2 star 2 out 10 star 10 of 100 star,killerofthemoon
"""Killers of the Flower Moon"" is a gripping historical drama showcasing stellar performances and an evocative narrative. One of the standout elements is Leonardo DiCaprio's transformation, achieved through prosthetics that alter his appearance dramatically, giving him a permanent frown reminiscent of Orson Welles. DiCaprio's acting reaches its pinnacle in a heart-wrenching scene where he processes the death of his daughter, delivering a performance that feels raw and genuine. Lily Gladstone, however, emerges as the film's most captivating presence. Her expressive eyes communicate a profound depth, keeping the audience guessing whether her character is aware of the sinister plans around her. Gladstone's portrayal adds an air of mystery and emotional weight to the story. Robert De Niro, as expected, is masterful, bringing a duality to his role as a public figure and a Mafia boss, blending menace with charisma. Supporting performances from Jesse Plemons and Brendan Fraser are equally compelling, with Fraser's physicality adding an intimidating dynamic to the courtroom scenes. Martin Scorsese's direction is exemplary, blending his signature style with historical authenticity. The film seamlessly integrates archival photographs and dynamic sequences, such as a memorable scene mixing rock and Native American music during a discovery of oil. The period setting is brought to life through meticulous attention to detail, from vintage cars to cultural nuances, creating a vivid depiction of 1920s America. The narrative also highlights racial tensions and the early days of the FBI, offering a sobering reflection on the era's complexities. Despite its strengths, the film isn't without flaws. Some editing choices, such as continuity errors and a broken 180-degree rule in a conversation, stand out as distractions. DiCaprio's accent, while period-appropriate, feels slightly forced and occasionally pulls focus from the story. At three hours long, the pacing falters at times, particularly in the early sections, which may lose some viewers' engagement. Emotionally, the death of Gladstone's character’s mother fails to resonate as strongly as intended, which detracts from the film's otherwise powerful emotional core. Additionally, DiCaprio's morally corrupt character may surprise viewers expecting a more traditional hero, ultimately shifting the narrative's emotional center to Gladstone. In conclusion, ""Killers of the Flower Moon"" is an ambitious film that succeeds in delivering a compelling story with remarkable performances and meticulous craftsmanship. While not without minor shortcomings, its powerful themes, exceptional acting, and Scorsese's visionary direction make it a memorable cinematic experience.",killerofthemoon
Scorsese at the peak of his powers once again. It’s a long film but it never feels that way. A nice return to form after The Irishman.,killerofthemoon
"Visually very good movie, that explores the dark history of the Osage murders. While the story is compelling, the lengthy runtime is excessive. Overall, it felt boring to me.",killerofthemoon
"Excellent film! It's a little long, but it's worth it. Native Americans have long been cheated, lied to, killed, and stolen from, by the white man. This movie gives you a good idea of what they have endured. I highly recommend that you see this film.",killerofthemoon
"Martin Scorsese makes movies that I usually like this film although long is fun thriller to watch. This film reminds me of the hateful eight by Tarantino but better executed. This film highlight is the performances of the cast all had great moments. Overall, I don't know why films now do 3 hour flick though I would like it in theater but for at home viewing is convenient as I can pause for a break and to Scorsese credit not get lost.",killerofthemoon
"It's a long movie with an incredible story, not heavy on action but full of drama. The performances were excellent, and the emotions really stood out. I'm usually not a big fan of movies these days, but this one was really good.",killerofthemoon
"It is not clear from the title of the film that this is not a classic melodrama. But a quality film with a share of realism, light humor, tragedy and a way of thinking that is not of our time. Excellent acting, a quality plot and atmosphere. For viewing by those who miss the quality of the film, not for viewing while doing something at home out of boredom!",killerofthemoon
"Another great film by the master craftsman, Martin Scorsese. It is unbelievable that he is still at the top of his game at 80 years old. The acting is great, especially in the case of Lily Gladstone. Her performance makes her an instant legend in my eyes. She was given the opportunity to show a wide range of her talent as Mollie Kyle. Robert De Niro, who is also 80 years old, gave one of his career best performances. Leonardo Dicaprio gave an exceptional performance as well. The cinematography is a thing of beauty! The signature Scorsese camera work is something to behold. The way the camera moves seamlessly through the house at a high rate of speed around the 44 minute mark is vintage Martin Scorsese. Him pulling off that shot with those mirrors on the wall is an impressive feat to say the least. I love Martin's cameo appearance at the end of the film. That entire sequence was a rather creative way to update the audience on the years that followed. Rather than simply using inserts, Mr. Scorsese chose to present the story in the style of a stage play, which was really effective, in my opinion. I love the final shot, which shows the resilience of the Osage people with the use of an elevating bird's eye view shot, showing the modern day tribe, dancing and celebrating, leaving the audience with something in the way of a happy ending. Killers of the Flower Moon is a great, yet dark motion picture that is even better upon a second viewing. I most definitely recommend this film. 95/100",killerofthemoon
